sequence,fake_file,FID
K06_A014_R02,K06_A014_R02_label_13.npy,3.347820995713281
K06_A014_R03,K06_A014_R03_label_13.npy,3.455568818181706
K06_A014_R04,K06_A014_R04_label_13.npy,14.391143325319089
K06_A015_R01,K06_A015_R01_label_14.npy,14.871013404753604
K06_A015_R02,K06_A015_R02_label_14.npy,14.379302166825195
K06_A015_R03,K06_A015_R03_label_14.npy,31.1147999748929
K06_A015_R04,K06_A015_R04_label_14.npy,2.9340496371798905
K07_A001_R01,K07_A001_R01_label_0.npy,33.75045378922357
K07_A001_R02,K07_A001_R02_label_0.npy,21.260355863841124
K07_A001_R03,K07_A001_R03_label_0.npy,16.149270478011747
K07_A001_R04,K07_A001_R04_label_0.npy,14.859341604898733
K07_A002_R01,K07_A002_R01_label_1.npy,120.20416964452477
K07_A002_R02,K07_A002_R02_label_1.npy,57.47837234255865
K07_A002_R03,K07_A002_R03_label_1.npy,33.287413983880874
K07_A002_R04,K07_A002_R04_label_1.npy,26.505824194817205
K07_A003_R01,K07_A003_R01_label_2.npy,22.474061943677928
K07_A003_R02,K07_A003_R02_label_2.npy,22.762239336023598
K07_A003_R03,K07_A003_R03_label_2.npy,57.71494558686288
K07_A003_R04,K07_A003_R04_label_2.npy,48.86022634495712
K07_A004_R01,K07_A004_R01_label_3.npy,2.0264730714072856
K07_A004_R02,K07_A004_R02_label_3.npy,3.5085517797280663
K07_A004_R03,K07_A004_R03_label_3.npy,2.8879006733922408
K07_A004_R04,K07_A004_R04_label_3.npy,3.8727459022617263
K07_A005_R01,K07_A005_R01_label_4.npy,20.816690637224745
K07_A005_R02,K07_A005_R02_label_4.npy,8.938541633076023
K07_A005_R03,K07_A005_R03_label_4.npy,1.8260723042823384
K07_A005_R04,K07_A005_R04_label_4.npy,6.140276429231644
K07_A006_R01,K07_A006_R01_label_5.npy,17.54054536027542
K07_A006_R02,K07_A006_R02_label_5.npy,10.699230231553122
K07_A006_R03,K07_A006_R03_label_5.npy,5.817791610498197
K07_A006_R04,K07_A006_R04_label_5.npy,3.9056591439644768
